station_id,terminal_id,X_lon,Y_lat,address,postcode,place,area,started,docks,hires,duration
244,1145,-0.128585,51.516118,2-4 Bucknall St,WC2H8LA,Earnshaw Street,Covent Garden,20120104,18,71694,1138
245,1140,-0.142207,51.485357,110 Grosvenor Rd,SW1V3AE,Grosvenor Road,Pimlico,20120104,29,35458,1654
246,1159,-0.099994,51.522853,John Vane Science Centre,EC1M5PF,Berry Street,Clerkenwell,20120104,41,127408,951
247,1091,-0.168314,51.530052,Lodge Grill,NW8 7HT,St. John's Wood Church,Regent's Park,20120104,50,40692,1833
248,1088,-0.170279,51.506451,Serpentine Rd,W2  2UH,Triangle Car Park,Hyde Park,20120104,27,145147,2255
249,1137,-0.096191,51.498597,23 Harper Rd,SE1 6AW,Harper Road,Borough,20120104,42,28967,1022
250,3440,-0.162727,51.489932,49 King's Rd,SW3 4ND,Royal Avenue 1,Chelsea,20120104,10,38742,1693
251,1161,-0.079249,51.518908,4 Brushfield St,EC2M4QH,Brushfield Street,Liverpool Street,20120104,34,190948,1167
252,1111,-0.116542,51.504636,337-338 Belvedere Rd,SE1 7NA,Jubilee Gardens,South Bank,20120104,30,110786,1643
253,1051,-0.086379,51.534042,19-21 Bridport Pl,N1  5DX,Shoreditch Park,Hoxton,20120104,30,84339,1186
254,3471,-0.106408,51.530515,5 Chadwell St,EC1R1XD,Chadwell Street,Angel,20120104,18,78386,982
255,1147,-0.179592,51.525575,22 Clifton Rd,W9  1SX,Clifton Road,Maida Vale,20120104,22,57778,1513
256,3484,-0.116764,51.51362,5 Houghton St,WC2A2AD,Houghton Street,Strand,20120104,15,39951,1088
257,1194,-0.154907,51.522481,35 Marylebone Rd,W1U 5UW,Westminster University,Marylebone,20120104,16,51802,1602
258,1193,-0.178656,51.501432,Darwin Building,SW7 2EU,Kensington Gore,Knightsbridge,20120104,23,40265,1705
259,,-0.123227,51.504893,140 Victoria Embankment,SW1A2HU,Embankment (Horse Guards),Westminster,20120104,0,57121,1719
260,3489,-0.13558,51.513684,Hat Trick Productions Ltd,W1F 8HT,Broadwick Street,Soho,20120104,18,66245,1288
261,3491,-0.191351,51.513489,33-36 Prince's Square,W2  4PT,Princes Square,Bayswater,20120104,15,33049,1699
262,1095,-0.103132,51.498744,12 Borough Rd,SE1 0AN,LSBU (Borough Road),Elephant & Castle,20120104,35,31712,1280
263,1184,-0.08066,51.514225,30 St Mary Axe,EC3A8EQ,St. Mary Axe,Aldgate,20120104,21,66171,1086
264,1146,-0.109256,51.526443,69-91 Rosebery Ave,EC1R4RR,Tysoe Street,Clerkenwell,20120104,20,95007,994
265,3490,-0.169249,51.515953,3 Southwick St,W2  2PR,Southwick Street,Paddington,20120104,17,48644,1236
266,1204,-0.180246,51.501026,1A Queen's Gate,SW7 5XE,Queen's Gate (North),Kensington,20120104,41,45084,1556
267,1155,-0.132224,51.49206,42 Regency St,SW1P4AD,Regency Street,Westminster,20120104,22,48667,1047
268,1087,-0.144132,51.493204,89 Eccleston Square,SW1V1PN,Belgrave Road,Victoria,20120104,29,91964,1177
269,1209,-0.08974,51.500823,17 Empire Square E,SE1 3YB,Empire Square,Borough,20120104,46,75252,1041
270,1190,-0.122492,51.486343,1 A3036,SW8 2LG,Kennington Lane Rail Bridge,Vauxhall,20120104,31,125805,1085
271,1136,-0.156285,51.535836,26 Outer Cir,NW1 4RY,London Zoo,Regent's Park,20120104,32,40729,1898
272,1133,-0.110699,51.501444,25 Baylis Rd,SE1 7AY,Baylis Road,Waterloo,20120104,22,112087,984
273,1186,-0.114686,51.506133,Hayward Gallery,SE1 8XZ,Belvedere Road,South Bank,20120104,38,107705,1421
274,1134,-0.205284,51.496712,373 Kensington High St,W14 8QZ,Warwick Road,Olympia,20120104,36,53233,1511
275,1191,-0.092176,51.520044,153 Silk St,EC2Y8DX,Barbican Centre,Barbican,20120104,19,52738,1017
276,1098,-0.084985,51.509301,10 Lower Thames St,EC3R6AD,Lower Thames Street,Monument,20120104,24,41043,1478
277,1143,-0.191496,51.503157,28 Kensington Church St,W8  4LF,Kensington Church Street,Kensington,20120104,17,84912,1301
278,1142,-0.07962,51.503493,188 Tooley St,SE1 2UD,Tooley Street,Bermondsey,20120104,17,154251,1432
279,1108,-0.176645,51.518622,55 N Wharf Rd,W2  1AF,North Wharf Road,Paddington,20120104,25,48070,1232
280,3462,-0.162418,51.490083,43-47 King's Rd,SW3 4TX,Royal Avenue 2,Chelsea,20120104,10,37328,1740
281,3480,-0.127575,51.495805,34 Smith Square,SW1P3AF,Smith Square,Westminster,20120104,18,53451,1050
282,1077,-0.059642,51.519064,271-273 Whitechapel Rd,E1  1BA,Royal London Hospital,Whitechapel,20120104,36,98923,1014
283,,-0.118442,51.51443,37 Kingsway,WC2B6TP,Kingsway,Covent Garden,20120104,0,19090,1090
284,1117,-0.112031,51.49914,Halifax Estate Agents,SE1 7XG,Lambeth North Station,Waterloo,20120104,20,49188,1062
285,,-0.143838,51.498006,29 Bressenden Place,SW1W0EJ,Royal Mews,Victoria,20120104,0,18900,1711
286,1187,-0.174653,51.527294,43 St John's Wood Rd,NW8 8UF,St. John's Wood Road,St. John's Wood,20120104,35,42142,1154
287,1156,-0.128377,51.523673,Dept of Geography,WC1H0AP,Bedford Way,Bloomsbury,20120104,23,54392,1070
288,1138,-0.147478,51.492369,2 Elizabeth Bridge,SW1W9TN,Elizabeth Bridge,Victoria,20120104,34,79983,1445
289,3493,-0.151296,51.50923,25 S Audley St,W1K 2PD,South Audley Street,Mayfair,20120104,15,26747,1265
290,3496,-0.175488,51.51678,8 Winsland St,W2  1DJ,Winsland Street,Paddington,20120104,15,104577,1363
291,1135,-0.138089,51.484839,128 Grosvenor Rd,SW1V3BQ,Claverton Street,Pimlico,20120104,32,34398,1679
292,1206,-0.165471,51.498884,2A Montpelier St,SW7 1EZ,Montpelier Street,Knightsbridge,20120104,16,74256,1583
293,1214,-0.209494,51.498157,27 Russell Rd,W14 8HU,Kensington Olympia Station,Olympia,20120104,25,36737,1312
294,1195,-0.135635,51.488226,30 St.George's Square,SW1V2HP,St. George's Square,Pimlico,20120104,16,68965,1103
295,1216,-0.092762,51.500296,2 Swan St,SE1 1BA,Swan Street,Borough,20120104,27,63004,981
296,200069,-0.190603,51.493631,8 Knaresborough Pl,SW5 0TJ,Knaresborough Place,Earl's Court,20120104,18,39694,1220
297,3498,-0.106,51.496127,Geraldine St,SE1 6EU,Geraldine Street,Elephant & Castle,20120104,17,19008,1017
298,1213,-0.074189,51.502279,29-32 Curlew St,SE1 2ND,Curlew Street,Shad Thames,20120104,21,95759,1273
299,1196,-0.136928,51.493985,63 Rochester Row,SW1P2NU,Vincent Square,Westminster,20120104,19,30989,1230
300,1217,-0.172729,51.505013,The Flower Walk,W2  3XA,Serpentine Car Park,Hyde Park,20120104,16,122728,1883
301,1152,-0.148105,51.514759,The Woodstock,W1C 1JH,Marylebone Lane,Marylebone,20120104,24,76637,1287
302,3492,-0.216573,51.466907,Lockyer House,SW151EP,Putney Pier,Wandsworth,20120104,28,9611,1169
303,1132,-0.158456,51.502953,S Carriage Dr,SW1X7JT,Albert Gate,Hyde Park,20120104,28,255784,2310
304,1149,-0.162097,51.512118,10 N Carriage Dr,W2  2ET,Cumberland Gate,Hyde Park,20120104,20,109902,2731
305,1168,-0.115853,51.486779,283-287 Kennington Ln,SE115RG,Kennington Lane Tesco,Vauxhall,20120104,15,34449,876
306,3497,-0.135025,51.518162,10 Rathbone St,W1T 1NT,Rathbone Street,Fitzrovia,20120104,16,45868,973
307,1157,-0.187842,51.509908,Broad Walk,W2  4RU,Black Lion Gate,Kensington Gardens,20120104,24,276383,2968
308,1189,-0.085666,51.499075,182-190 Long Ln,SE1 4PZ,Long Lane,Bermondsey,20120104,20,51705,1006
309,1192,-0.119047,51.509631,Victoria Embankment,WC2R0BL,Embankment (Savoy),Strand,20120104,41,42244,1807
310,1205,-0.116911,51.490867,7 Black Prince Rd,SE116JH,Black Prince Road,Vauxhall,20120104,19,39513,994
311,3494,-0.140485,51.519181,29-30 Foley St,W1W 7TJ,Foley Street,Fitzrovia,20120104,24,77360,966
